Candidato - nome de urna;SG_PARTIDO;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_DECLARAR_BENS
ABRAÃO GARCIA;PROS;BRASILEIRA NATA;48;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;S
ACSA JUNIA;DEM;BRASILEIRA NATA;36;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
ADAIR MOTORISTA;PATRIOTA;BRASILEIRA NATA;41;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ADAISSON OSCAR;PSOL;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
ADÃO CAETANO;PATRIOTA;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ADÃO REIS;PODE;BRASILEIRA NATA;67;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
ADAO RIBEIRO;PSL;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
ADAUTO BRASIL;PL;BRASILEIRA NATA;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ADEMIR ANDRADE;PTC;BRASILEIRA NATA;46;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;S
ADENILTON DANTAS DENIM;PP;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
ADILSON BISPO;PSDB;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO INCOMPLETO;SEPARADO(A) JUDICIALMENTE;PRETA;S
ADILSON BOI;PTC;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ADILSON MARTINS;PSL;BRASILEIRA NATA;39;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
ADILSON PIQUINÊS;AVANTE;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
ADILSON SILVA;DC;BRASILEIRA NATA;52;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;N
ADILSON TELES;PC do B;BRASILEIRA NATA;56;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
ADJAILSON SEVERO;PC do B;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PRETA;N
