Candidato - nome de urna,Part./Colig.,Votos,% (*)
ABRA«O GARCIA,PROS,298,"0,03"
ACSA JUNIA,DEM,261,"0,02"
ADAIR MOTORISTA,PATRIOTA,342,"0,03"
ADAISSON OSCAR,PSOL,730,"0,06"
AD«O CAETANO,PATRIOTA,2201,"0,19"
AD«O REIS,PODE,175,"0,01"
ADAO RIBEIRO,PSL,258,"0,02"
ADAUTO BRASIL,PL,142,"0,01"
ADEMIR ANDRADE,PTC,50,0
ADENILTON DANTAS DENIM,PP,1337,"0,11"
ADILSON BISPO,PSDB,277,"0,02"
ADILSON BOI,PTC,941,"0,08"
ADILSON MARTINS,PSL,89,"0,01"
ADILSON PIQUIN“S,AVANTE,1058,"0,09"
ADILSON SILVA,DC,94,"0,01"
ADILSON TELES,PC do B,71,"0,01"
ADJAILSON SEVERO,PC do B,118,"0,01"
ADRIANA ARAÈJO,PSB,3071,"0,26"
ADRIANA BORGES,PATRIOTA,497,"0,04"
ADRIANA BUZELIN,PV,823,"0,07"
ADRIANA DO GµS,AVANTE,364,"0,03"
ADRIANA PINHEIRO,PTC,769,"0,07"
ADRIANO OLIVER,PSD,414,"0,04"
ADRIANO SALUSTIANO,CIDADANIA,334,"0,03"
ADRIANO VENTURA,PSD,4605,"0,39"
ADVOGADA LIA MARIA,DC,103,"0,01"
AFONSO TAQUARIL,PL,228,"0,02"
AGUINALDO BRAGA,MDB,241,"0,02"
ALAN MADUREIRA,PP,1381,"0,12"
ALAN RODRIGUES,PSOL,252,"0,02"
ALANA PINHO,PMN,279,"0,02"
ALBERTO BELIN,PV,137,"0,01"
ALBERTO VIEIRA,PV,46,0
ALCINEIA DE OLIVEIRA,PSC,44,0
ALDA METROVIµRIA,UP,376,"0,03"
AL“ BORGES,PATRIOTA,121,"0,01"
ALENCAR CARVALHO,REPUBLICANOS,380,"0,03"
ALESSANDRA ROSA,AVANTE,130,"0,01"
ALêSSIO LEAL NENZINHO DO TµXI,PROS,553,"0,05"
ALEX DOUGLAS,PT,134,"0,01"
ALEX RIBEIRO GASPARZINHO,PRTB,155,"0,01"
ALEXANDRE BOAVENTURA,CIDADANIA,1751,"0,15"
ALEXANDRE BONITO,PROS,209,"0,02"
ALEXANDRE BORJAILI,PSC,105,"0,01"
ALEXANDRE BRAGA,PC do B,107,"0,01"
ALEXANDRE CLETO,PTB,261,"0,02"
ALEXANDRE DA ZOONOSES,MDB,1034,"0,09"
ALEXANDRE DO ESCOLAR (DINHO),PATRIOTA,256,"0,02"
ALEXANDRE SANTOS,AVANTE,49,0
ALEXANDRE TICONDOCA,PROS,30,0
ALEXANDRIO DE CARVALHO,REPUBLICANOS,59,"0,01"
ALFREDO TEIXEIRA,DEM,508,"0,04"
ALICIO CESAR,REPUBLICANOS,443,"0,04"
ALINE NOGUEIRA,PV,159,"0,01"
ALISSON SILVESTRE,PV,164,"0,01"
ALMEID«O DO PARTID«O,PCB,36,0
ALU÷ZIO LEANDRO LêO,PTB,664,"0,06"
ALVARO DAMI«O,DEM,12742,"1,09"
µLVARO GOULART,PSD,1388,"0,12"
ALYSSON DO APLICATIVO,PC do B,76,"0,01"
AMARELINHO DE JESUS,SOLIDARIEDADE,486,"0,04"
AMAURI DE PAULA,PSOL,140,"0,01"
AMAURI JIB‡IA,SOLIDARIEDADE,418,"0,04"
AMIR NETO,PATRIOTA,261,"0,02"
ANA CAROLINA,MDB,6,0
ANA CLAUDIA QUELES BELMONTE,AVANTE,286,"0,02"
ANA DA SOPA,REPUBLICANOS,751,"0,06"
ANA DE JESUS,DEM,340,"0,03"
ANA EVANGELISTA,PT,341,"0,03"
ANA FLµVIA,PTC,15,0
ANA GRANATA,PSL,275,"0,02"
ANA PAULA,PTC,38,0
ANA PAULA VILLAR,PP,29,0
ANANIAS CARDOSO,PSB,86,"0,01"
ANDERSON BRITO,PDT,239,"0,02"
ANDERSON COSTA,DC,3005,"0,26"
ANDERSON DA LUZ,PATRIOTA,1562,"0,13"
ANDERSON DO TRANSPORTE,PSDB,100,"0,01"
ANDERSON GERTH,DEM,117,"0,01"
ANDERSON SANTOS,PTB,90,"0,01"
ANDRê ALVARENGA,REDE,517,"0,04"
ANDRê ASC∂NIO,PSD,634,"0,05"
ANDRê CAMEL‚,PSOL,355,"0,03"
ANDRê DEC«O,PSC,203,"0,02"
ANDRê DO SOCIAL,PSDB,629,"0,05"
ANDRê FORMIG«O,PV,498,"0,04"
ANDRê LUIZ MARTINS,PSD,276,"0,02"
ANDRê PEDREIRO,PT,57,0
ANDREA AGOSTINHO,SOLIDARIEDADE,309,"0,03"
ANDREA AGUIAR,CIDADANIA,363,"0,03"
ANDREA COSTA,PDT,119,"0,01"
ANDREA ESTETICISTA,PC do B,6,0
ANDRESA COSTA NEGA,DEM,339,"0,03"
ANDREZA SALES,REPUBLICANOS,33,0
∂NGELA OTTONI,REPUBLICANOS,423,"0,04"
ANGELITA ROCHA,PMN,114,"0,01"
ANTONIO AUGUSTO,NOVO,790,"0,07"
ANTONIO CARLOS BH,PSL,106,"0,01"
ANT‚NIO HUCK,PTC,69,"0,01"
ANTONIO LOBO,PSB,131,"0,01"
ANT‚NIO MµRCIO CEARµ,PP,841,"0,07"
ANTONIO MELANE,PODE,1118,"0,1"
ANT‚NIO WILLIAM GOMES,PODE,259,"0,02"
APARECIDA SANTOS,PSL,19,0
ARIADNA GUIMAR«ES,PATRIOTA,86,"0,01"
ARIELLA DUTRA,REPUBLICANOS,64,"0,01"
ARLINDO DO GµS,PSC,100,"0,01"
ARNALDO GODOY,PT,3061,"0,26"
ARY JUNIOR,PROS,496,"0,04"
AUDR“ LISBOA,PSB,119,"0,01"
AUDREY SNOOPY,REDE,34,0
AURENI DAS GRAÄAS,CIDADANIA,89,"0,01"
AUTAIR GOMES,PSD,5461,"0,47"
AVELINO MOREIRA,SOLIDARIEDADE,2312,"0,2"
BACALHAU,PTB,68,"0,01"
BAIANO DO GARAJ«O,PTC,146,"0,01"
BAIANO DO SUCATA,PROS,404,"0,03"
BAIXINHO CARRETO,PL,135,"0,01"
BAIXINHO DA VIDRAÄARIA,PSD,113,"0,01"
BALBINO DA AMBUL∂NCIA,PP,1271,"0,11"
BALINHA DO AÄOUGUE,DEM,2103,"0,18"
BAR«O MOURA,AVANTE,144,"0,01"
BµRBARA FRANÄA,PT,193,"0,02"
BµRBARA GUILHERME,PTB,47,0
BARBOSA DAS CORRIDAS DE RUA,PTC,426,"0,04"
BEBEL,PT,540,"0,05"
BEBEL DO MERCADO,DEM,103,"0,01"
BEL LIMA,REDE,82,"0,01"
BELLA GONÄALVES,PSOL,6954,"0,6"
BENEDITO MATEUS,PV,172,"0,01"
BENJAMIM DA DISTRIBUIDORA,PL,167,"0,01"
BERê SILVA,PTB,175,"0,01"
BERNARDO SAFAR BARAKAT,AVANTE,225,"0,02"
BETH RODRIGUES,REDE,43,0
BETO DO S«O BERNARDO,MDB,929,"0,08"
BETO FUTEV‚LEI,PATRIOTA,29,0
BETO MEC«NICO,PDT,179,"0,02"
BIANCA ANGEL,PROS,2,0
BIGODE DAS LATINHAS,PSC,97,"0,01"
BILL DO PROJETO,PTB,794,"0,07"
BIM DA AMBUL∂NCIA,PSD,6022,"0,52"
BIM DA KEL,PTC,384,"0,03"
BINHA DA COL‡,PMN,258,"0,02"
BISMARCK GOUVEA,PL,213,"0,02"
BOI,PATRIOTA,263,"0,02"
BRAND«O DA LIVRARIA,PDT,87,"0,01"
BRAULIO LARA,NOVO,5776,"0,49"
BRAYAN FREDERICO,CIDADANIA,435,"0,04"
BRENDA CRISTINA,REPUBLICANOS,57,0
BRENO BAETA,NOVO,375,"0,03"
BRENO NOLASCO ONG OPORTUNIDADE,AVANTE,3298,"0,28"
BRENO RICARDO,CIDADANIA,327,"0,03"
BRENO T‡TOLI,PMN,25,0
BREOSO,PODE,125,"0,01"
BRUNA BUENO,PDT,1619,"0,14"
BRUNO ANGELI,PROS,302,"0,03"
BRUNO BUENO,REPUBLICANOS,151,"0,01"
BRUNO GLEIDSON,PROS,513,"0,04"
BRUNO MIRANDA,PDT,5178,"0,44"
BRUNO RAFAEL,PT,155,"0,01"
BRUNO SALDANHA,PRTB,649,"0,06"
BUTINADA,REDE,176,"0,02"
CABO ALEXSANDER,PSDB,463,"0,04"
CABO DIMITRE,REDE,155,"0,01"
CABO ROMULO SANTIAGO BH,PRTB,175,"0,01"
CABO VENANCIO PRIMO,AVANTE,1228,"0,11"
CABRAL,PL,165,"0,01"
CAIO BELLOTE,PMN,1368,"0,12"
CAMARGOS DA PROPAGANDA,PTC,761,"0,07"
CAMILA CASQUINHA,PV,474,"0,04"
CAMILA GOMES,DC,3,0
